N,seed,user,x,y
100,10000,0,144.3969973553,876.6836662092
100,10000,1,156.6247613252,443.8743611508
100,10000,2,745.5522148383,860.9264205161
100,10000,3,657.2076324298,1000.0000000000
100,10000,4,835.8281518284,850.1569413373
100,10000,5,735.5077728173,104.2902153904
100,10000,6,164.8600989171,834.2628637670
100,10000,7,175.8307887527,761.3801481450
100,10000,8,244.8873853499,698.8945511396
100,10000,9,302.8512328286,254.4185840215
100,10000,10,107.2617017010,306.9552671564
100,10000,11,568.8181278756,784.5968569647
100,10000,12,278.0632901505,623.5549231404
100,10000,13,707.1974444638,184.8926734204
100,10000,14,359.8885234487,0.0000000000
100,10000,15,823.0705800005,604.2077501556
100,10000,16,585.2982678207,804.0600465827
100,10000,17,185.8190784956,743.3928088135
100,10000,18,834.7101408662,329.1772382341
100,10000,19,316.4123723147,250.3056280671
100,10000,20,340.7916234209,667.5208103059
100,10000,21,767.9885609978,301.8040430317
100,10000,22,252.8881679712,167.7259028928
100,10000,23,679.4850639217,35.3050157453
100,10000,24,825.9084609077,654.2555206887
100,10000,25,328.9796468128,570.7123743614
100,10000,26,722.2367095389,724.8755799537
100,10000,27,741.1659664466,923.0496162537
100,10000,28,1000.0000000000,776.0442915119
100,10000,29,783.2762888914,186.9029774404
100,10000,30,371.7935731532,722.3803664664
100,10000,31,233.9484570033,44.7375505327
100,10000,32,725.5793061251,631.2792587543
100,10000,33,761.0543021934,92.7442621156
100,10000,34,631.6232288073,235.7451525849
100,10000,35,801.2354830789,496.9888473950
100,10000,36,458.9056889928,191.3245917017
100,10000,37,764.7211982724,353.1925433651
100,10000,38,44.5267857019,181.1580979876
100,10000,39,358.5613255192,93.1230037023
100,10000,40,159.1324843110,1000.0000000000
100,10000,41,905.0472934741,269.0628981317
100,10000,42,821.6491312959,892.0709420606
100,10000,43,355.8632329286,662.8822328126
100,10000,44,681.6755464058,880.2187087615
100,10000,45,163.2379273601,100.0779648775
100,10000,46,730.2994680075,741.2221185716
100,10000,47,324.4771935815,824.5343387912
100,10000,48,129.1726443139,188.4237135325
100,10000,49,704.1300682846,1000.0000000000
100,10000,50,697.3293374312,860.4299733428
100,10000,51,328.0274092813,701.8796265427
100,10000,52,184.1326406247,823.1794467117
100,10000,53,372.8121341526,262.1434959796
100,10000,54,736.3381603738,722.3589100132
100,10000,55,143.9446859001,820.2478334684
100,10000,56,643.8988832448,182.4124896326
100,10000,57,797.8021365729,269.4895871289
100,10000,58,338.6161997754,56.9203615516
100,10000,59,424.0052346264,794.1893321121
100,10000,60,295.7239177253,677.5791666497
100,10000,61,559.5490101551,917.4953867882
100,10000,62,375.9150306449,228.9715177307
100,10000,63,549.0470822292,349.0830450871
100,10000,64,499.0571140796,573.8071401944
100,10000,65,803.5083577802,895.0578812744
100,10000,66,36.6483132955,704.1487644812
100,10000,67,854.3685954690,0.0000000000
100,10000,68,309.6877244094,773.9758782862
100,10000,69,194.1750117195,798.7178432522
100,10000,70,777.9552211545,231.4987270419
100,10000,71,587.6869074615,605.3634654163
100,10000,72,330.4104482067,424.2303952215
100,10000,73,853.2399439358,623.7087302204
100,10000,74,90.5528001476,1000.0000000000
100,10000,75,330.5362305316,623.6988228165
100,10000,76,883.6728340495,791.8120991723
100,10000,77,949.8459320684,269.7604926367
100,10000,78,92.3833524784,985.1084478256
100,10000,79,572.1231390082,731.8950167610
100,10000,80,792.5376555025,728.3321460289
100,10000,81,676.1890986176,941.8952752557
100,10000,82,903.7498170685,599.2010156009
100,10000,83,122.0842590142,815.5289249130
100,10000,84,831.6586233640,502.6565961226
100,10000,85,269.5378149418,286.5864230961
100,10000,86,754.1482042042,504.1861771645
100,10000,87,269.3302571612,213.2272886477
100,10000,88,692.7534294101,938.8470006393
100,10000,89,798.8191662378,857.2352654644
100,10000,90,552.8890437230,821.6379104550
100,10000,91,851.7422050424,379.0390138076
100,10000,92,172.6502421645,11.8797814966
100,10000,93,801.5977505100,535.2975500291
100,10000,94,220.3827060462,748.0948989363
100,10000,95,317.3643126723,282.3364382579
100,10000,96,422.9222799586,861.3221649322
100,10000,97,31.1293336553,808.5862476195
100,10000,98,377.1072619708,1000.0000000000
100,10000,99,128.3810781872,164.2415874443
100,10001,0,831.2493546153,195.3722404584
100,10001,1,827.3869112318,92.5170046256
100,10001,2,258.2873538898,121.5467217969
100,10001,3,653.0600778426,1000.0000000000
100,10001,4,365.2526334540,481.4204366685
100,10001,5,695.8624336889,929.9572372547
100,10001,6,220.9622952621,72.5692201448
100,10001,7,679.4100018015,572.2002636594
100,10001,8,600.5856596000,382.6806252724
100,10001,9,610.5808648412,591.1049120618
100,10001,10,925.6602294977,50.0333164620
100,10001,11,687.7202908534,779.5292086238
100,10001,12,273.5231570407,737.9210262284
100,10001,13,288.3334720585,324.2664803895
100,10001,14,132.2129633059,357.5401714746
100,10001,15,861.0836493830,841.6999498251
100,10001,16,553.1702670294,743.0810708507
100,10001,17,364.3012891213,837.3471872722
100,10001,18,358.4086254730,756.5559088855
100,10001,19,143.1314359536,794.9883655917
100,10001,20,735.0871626317,551.9725883244
100,10001,21,876.6997110288,95.0715210379
100,10001,22,848.5749079067,936.5664308795
100,10001,23,874.5301032834,267.9113727510
100,10001,24,374.9078899770,891.2057209663
100,10001,25,352.8857141753,701.3869548528
100,10001,26,713.1355569413,115.9896375838
100,10001,27,306.4471082215,827.4676444529
100,10001,28,913.3871283444,840.7864270861
100,10001,29,660.8149112983,457.1748766321
