factor,level,seed,coverage,K,throughput_Mbps,p5_rate_Mbps,jain_fairness,time_s
qos_rmin_mbps,0.5,20000,0.99500000,24,4981.86937168,1.54849518,0.54584307,0.08400000
qos_rmin_mbps,0.5,20001,1.00000000,26,4866.71971953,1.49915636,0.47757837,0.08700000
qos_rmin_mbps,0.5,20002,1.00000000,24,4898.61715622,1.41952854,0.58392392,0.08400000
qos_rmin_mbps,0.5,20003,0.99000000,26,6293.81663297,1.45834224,0.46483927,0.08500000
qos_rmin_mbps,0.5,20004,1.00000000,28,27364.82722050,16.34048079,0.79188590,0.07700000
qos_rmin_mbps,0.5,20005,0.99750000,32,10192.57920653,2.74560057,0.58558610,0.08800000
qos_rmin_mbps,0.5,20006,1.00000000,29,12851.95954149,4.27656980,0.66181834,0.08000000
qos_rmin_mbps,0.5,20007,0.99750000,28,25252.31663671,13.26936320,0.75216133,0.08100000
qos_rmin_mbps,0.5,20008,1.00000000,25,9758.80077258,2.87970644,0.63994084,0.07500000
qos_rmin_mbps,0.5,20009,1.00000000,23,4512.97289468,1.64575602,0.52720551,0.07300000
qos_rmin_mbps,0.5,20010,1.00000000,29,19004.83925792,7.12891397,0.67132471,0.07400000
qos_rmin_mbps,0.5,20011,1.00000000,26,5133.72915191,1.07190111,0.40947180,0.08300000
qos_rmin_mbps,0.5,20012,1.00000000,30,9140.24376163,2.60146443,0.57381234,0.08700000
qos_rmin_mbps,0.5,20013,1.00000000,24,5299.44215717,1.99076282,0.52392662,0.08000000
qos_rmin_mbps,0.5,20014,1.00000000,31,12708.43038909,4.05371947,0.66715842,0.07900000
qos_rmin_mbps,0.5,20015,1.00000000,25,4780.35213883,1.17508964,0.50837943,0.07800000
qos_rmin_mbps,0.5,20016,1.00000000,28,9659.00112852,2.26622204,0.57428303,0.07700000
qos_rmin_mbps,0.5,20017,1.00000000,31,5331.33551290,2.00072586,0.54950919,0.08500000
qos_rmin_mbps,0.5,20018,1.00000000,26,25359.36927115,17.32667205,0.78393757,0.07500000
qos_rmin_mbps,0.5,20019,1.00000000,30,8047.87073370,2.22062670,0.57198344,0.08000000
qos_rmin_mbps,0.5,20020,1.00000000,24,9295.29202823,3.98308645,0.58532460,0.07900000
