scenario,N,seed,method,coverage,K,throughput_Mbps,mean_user_rate_Mbps,p5_rate_Mbps,qos_violation,jain_fairness,time_s
four_cluster,100,10000,kmeans_grid,0.95000000,5,10676.73107366,106.76731074,0.00000000,0.05000000,0.59576375,0.00100000
four_cluster,100,10000,gno,1.00000000,10,2703.75833203,27.03758332,9.80703058,0.00000000,0.55463338,0.00100000
four_cluster,100,10000,alns_no_refine,1.00000000,6,4581.66624284,45.81666243,13.18734791,0.00000000,0.52766862,0.00600000
four_cluster,100,10000,fixed_gno_refine,1.00000000,10,9213.49130989,92.13491310,17.95628682,0.00000000,0.76596772,0.01500000
four_cluster,100,10000,alns_sca_lite,1.00000000,6,6925.06602297,69.25066023,10.25501173,0.00000000,0.67495681,0.02300000
four_cluster,100,10000,pso_low_3x4,1.00000000,6,6170.70829695,61.70708297,4.84288998,0.00000000,0.42152137,0.00600000
four_cluster,100,10000,pso_mid_6x8,1.00000000,6,4033.19553510,40.33195535,2.66294804,0.00000000,0.62086059,0.02100000
four_cluster,100,10000,pso_high_12x16,1.00000000,6,11299.77291631,112.99772916,10.47430801,0.00000000,0.55916960,0.06100000
four_cluster,100,10001,kmeans_grid,0.90000000,5,9865.99135949,98.65991359,0.00000000,0.10000000,0.57535223,0.00400000
four_cluster,100,10001,gno,1.00000000,10,3017.03899751,30.17038998,5.24597477,0.00000000,0.74051967,0.00200000
four_cluster,100,10001,alns_no_refine,1.00000000,7,3444.29238866,34.44292389,2.30701346,0.00000000,0.62065297,0.00900000
four_cluster,100,10001,fixed_gno_refine,1.00000000,10,8056.71116246,80.56711162,22.75697314,0.00000000,0.76012727,0.02200000
four_cluster,100,10001,alns_sca_lite,1.00000000,8,6184.26687271,61.84266873,15.75924459,0.00000000,0.69423695,0.03100000
four_cluster,100,10001,pso_low_3x4,1.00000000,8,6286.25963704,62.86259637,3.81134134,0.00000000,0.41326511,0.02200000
four_cluster,100,10001,pso_mid_6x8,1.00000000,8,7480.79793571,74.80797936,12.45580424,0.00000000,0.45205509,0.03600000
four_cluster,100,10001,pso_high_12x16,1.00000000,8,8086.85349534,80.86853495,14.93869950,0.00000000,0.49596996,0.12200000
four_cluster,100,10002,kmeans_grid,0.89000000,5,9479.82850694,94.79828507,0.00000000,0.11000000,0.53555727,0.00300000
four_cluster,100,10002,gno,1.00000000,10,3264.85305117,32.64853051,3.05644689,0.00000000,0.70700563,0.00200000
four_cluster,100,10002,alns_no_refine,1.00000000,7,3917.27340929,39.17273409,2.75485804,0.00000000,0.66630937,0.01200000
four_cluster,100,10002,fixed_gno_refine,1.00000000,10,8484.21112400,84.84211124,14.91843914,0.00000000,0.73342916,0.01800000
four_cluster,100,10002,alns_sca_lite,1.00000000,6,10528.91444283,105.28914443,22.14596513,0.00000000,0.74891087,0.02300000
four_cluster,100,10002,pso_low_3x4,1.00000000,6,8969.66917577,89.69669176,18.11803455,0.00000000,0.57991409,0.00700000
four_cluster,100,10002,pso_mid_6x8,1.00000000,6,8321.27643979,83.21276440,7.60668374,0.00000000,0.44915969,0.02600000
four_cluster,100,10002,pso_high_12x16,1.00000000,6,10850.50436983,108.50504370,7.09896068,0.00000000,0.62493723,0.09600000
four_cluster,100,10003,kmeans_grid,0.89000000,5,9207.27905205,92.07279052,0.00000000,0.11000000,0.61297791,0.00200000
four_cluster,100,10003,gno,1.00000000,10,2244.68647038,22.44686470,6.51939619,0.00000000,0.72754509,0.00200000
four_cluster,100,10003,alns_no_refine,1.00000000,7,2427.03363310,24.27033633,4.09193714,0.00000000,0.60731013,0.01200000
four_cluster,100,10003,fixed_gno_refine,1.00000000,10,6797.37892719,67.97378927,15.21843697,0.00000000,0.65865312,0.02200000
four_cluster,100,10003,alns_sca_lite,1.00000000,7,6415.50738140,64.15507381,8.86175109,0.00000000,0.73517381,0.02800000
four_cluster,100,10003,pso_low_3x4,1.00000000,7,4966.64946703,49.66649467,3.19263522,0.00000000,0.50473102,0.00700000
four_cluster,100,10003,pso_mid_6x8,1.00000000,7,7331.06009790,73.31060098,18.80634158,0.00000000,0.55022809,0.02300000
four_cluster,100,10003,pso_high_12x16,1.00000000,7,10600.90585466,106.00905855,3.41269989,0.00000000,0.58368424,0.08800000
four_cluster,100,10004,kmeans_grid,0.92000000,5,11042.05611733,110.42056117,0.00000000,0.08000000,0.65429186,0.00200000
four_cluster,100,10004,gno,1.00000000,10,2859.07668224,28.59076682,6.42998243,0.00000000,0.50121211,0.00100000
four_cluster,100,10004,alns_no_refine,1.00000000,5,4034.14583737,40.34145837,2.16014920,0.00000000,0.38242807,0.00900000
four_cluster,100,10004,fixed_gno_refine,1.00000000,10,6248.66482731,62.48664827,17.48048772,0.00000000,0.75126609,0.01700000
four_cluster,100,10004,alns_sca_lite,1.00000000,6,8045.17480707,80.45174807,20.10612348,0.00000000,0.72477568,0.01900000
four_cluster,100,10004,pso_low_3x4,1.00000000,6,5323.75399499,53.23753995,2.64449665,0.00000000,0.37656543,0.00500000
four_cluster,100,10004,pso_mid_6x8,1.00000000,6,6846.70366149,68.46703661,16.00998434,0.00000000,0.53494138,0.02100000
four_cluster,100,10004,pso_high_12x16,1.00000000,6,7995.00268254,79.95002683,9.21727847,0.00000000,0.43949371,0.06500000
four_cluster,100,10005,kmeans_grid,0.90000000,5,11015.22556257,110.15225563,0.00000000,0.10000000,0.64271821,0.00100000
four_cluster,100,10005,gno,1.00000000,10,4000.42000325,40.00420003,11.80513080,0.00000000,0.66163670,0.00200000
four_cluster,100,10005,alns_no_refine,1.00000000,7,5569.86495296,55.69864953,13.55704242,0.00000000,0.60115942,0.00800000
four_cluster,100,10005,fixed_gno_refine,1.00000000,10,9062.95110811,90.62951108,20.25934421,0.00000000,0.79556394,0.01300000
four_cluster,100,10005,alns_sca_lite,1.00000000,6,10491.08849959,104.91088500,7.06376791,0.00000000,0.53056814,0.01800000
four_cluster,100,10005,pso_low_3x4,0.99000000,6,5879.94264826,58.79942648,1.26960590,0.01000000,0.56589198,0.00500000
four_cluster,100,10005,pso_mid_6x8,1.00000000,6,9318.17495073,93.18174951,16.08323180,0.00000000,0.52577228,0.02100000
four_cluster,100,10005,pso_high_12x16,1.00000000,6,9570.78324126,95.70783241,20.28147040,0.00000000,0.55272340,0.06700000
four_cluster,100,10006,kmeans_grid,0.85000000,5,10249.18552512,102.49185525,0.00000000,0.15000000,0.60231114,0.00200000
four_cluster,100,10006,gno,1.00000000,10,2945.09635657,29.45096357,5.70839777,0.00000000,0.65347465,0.00100000
