N,metric,mean,sd,ci95_low,ci95_high
100,optimal_status_fraction,0.6,0,,
100,mean_reported_mip_gap,0.12915047821965542,0.2552387950717294,,
100,K,6.333333333333333,3.5069717099960536,5.023955611223671,7.642711055442995
100,coverage,0.9319999999999999,0.04559189280623444,0.9149776189585053,0.9490223810414946
100,throughput_Mbps,5680.220439699292,1719.665125844322,5038.159028467663,6322.281850930921
100,p5_rate_Mbps,2.4551777997073203,5.2133041976328816,0.508716596298022,4.401639003116618
100,jain_fairness,0.5649847981787394,0.10975175844199422,0.5240074195883457,0.605962176769133
100,solve_time_s,2.344464826666666,0.725008306841903,2.073772672915502,2.6151569804178303
200,optimal_status_fraction,0.13333333333333333,0,,
200,mean_reported_mip_gap,0.4786024787463103,0.4965441532919128,,
200,K,16.0,6.302708777266683,13.646794116309735,18.353205883690265
200,coverage,0.9506666666666667,0.05438897792329095,0.9303597688898518,0.9709735644434815
200,throughput_Mbps,5558.586630199126,775.3833032792318,5269.08625569774,5848.087004700513
200,p5_rate_Mbps,4.668637185963953,5.166397344506584,2.739689322717274,6.5975850492106325
200,jain_fairness,0.5943538159899129,0.11515773304829825,0.5513580399611798,0.6373495920186459
200,solve_time_s,3.3236859866666664,0.5196103684402164,3.129682071929191,3.517689901404142
