scenario,N,metric,reference,comparator,n_pairs,mean_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_W,p_two_sided,p_signflip,p_holm,p_signflip_holm
four_cluster,400,coverage,lns_based,block_centroid,30,0.0029999999999999914,0.001499999999999994,0.004666666666666656,0.0,0.0021487082221849094,0.000499990000199996,0.04727158088806801,0.0124997500049999
four_cluster,400,K,lns_based,block_centroid,30,-12.533333333333333,-13.5,-11.566666666666666,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
four_cluster,400,p5_rate_Mbps,lns_based,block_centroid,30,3.5208754853333333,1.6205024126750005,5.637758614108328,150.0,0.09194962680339813,0.0012199756004879902,1.0,0.028059438811223775
four_cluster,400,coverage,lns_based,lns_no_refine,30,0.002833333333333325,0.001333333333333331,0.004499999999999993,3.0,0.0027786958987166457,0.0016799664006719867,0.05835261387304956,0.036959260814783707
four_cluster,400,K,lns_based,lns_no_refine,30,1.2666666666666666,0.3333333333333333,2.2333333333333334,86.0,0.02194082977047862,0.015759684806303874,0.4168757656390938,0.2994340113197736
four_cluster,400,p5_rate_Mbps,lns_based,lns_no_refine,30,3.8143916680000007,1.9382233560166666,5.960979337649999,77.0,0.0008718203753232956,0.00017999640007199856,0.024410970509052277,0.00503989920201596
four_cluster,400,coverage,lns_based,fixed_initializer_refine,30,0.000583333333333332,0.0,0.0014166666666666661,0.0,0.10880943004054569,0.250894982100358,1.0,1.0
four_cluster,400,K,lns_based,fixed_initializer_refine,30,-12.533333333333333,-13.5,-11.533333333333333,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
four_cluster,400,p5_rate_Mbps,lns_based,fixed_initializer_refine,30,-0.7558444843333334,-1.75248764685,0.28095496934166625,82.0,0.001340603455901146,0.1626967460650787,0.03351508639752865,1.0
four_cluster,400,coverage,lns_based,pso_high_12x16,30,-0.0006666666666666598,-0.001249999999999988,-0.0002499999999999947,0.0,0.023140931308743732,0.03155936881262375,0.4168757656390938,0.5680686386272276
four_cluster,400,K,lns_based,pso_high_12x16,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
four_cluster,400,p5_rate_Mbps,lns_based,pso_high_12x16,30,1.8872651230000002,0.0733843904000001,3.9025238406833322,202.0,0.5425279382616282,0.06651866962660746,1.0,0.9989000219995601
uniform,400,coverage,lns_based,block_centroid,30,0.003916666666666661,0.0022499999999999964,0.005833333333333331,0.0,0.00041402463800063976,3.999920001599968e-05,0.012006714502018553,0.0012399752004959902
uniform,400,K,lns_based,block_centroid,30,-11.866666666666667,-12.7,-10.966666666666667,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
uniform,400,p5_rate_Mbps,lns_based,block_centroid,30,3.631282423666667,1.7570467115333332,5.772534996383326,51.0,6.286613643169403e-05,5.999880002399952e-05,0.001948850229382515,0.001739965200695986
uniform,400,coverage,lns_based,lns_no_refine,30,0.0027499999999999894,0.0011666666666666603,0.00458333333333332,14.0,0.004914927767254364,0.0028199436011279774,0.09829855534508727,0.059218815623687526
uniform,400,K,lns_based,lns_no_refine,30,1.2,0.03333333333333333,2.3333333333333335,107.0,0.0279707030056249,0.05875882482350353,0.47550195109562327,0.9989000219995601
