factor,level,metric,mean,sd,ci95_low,ci95_high
altitude_hmax_m,150,coverage,0.99925,0.0020916501,0.99846905,1.0000309
altitude_hmax_m,150,K,27.533333,2.5961953,26.564007,28.50266
altitude_hmax_m,150,throughput_Mbps,10914.478,7213.7296,8221.1298,13607.827
altitude_hmax_m,150,p5_rate_Mbps,4.7872517,4.9296544,2.9466952,6.6278083
altitude_hmax_m,150,jain_fairness,0.5959787,0.099669393,0.55876572,0.63319168
altitude_hmax_m,150,time_s,0.078833333,0.0039311605,0.077365579,0.080301088
altitude_hmax_m,250,coverage,0.9995,0.0012105855,0.99904801,0.99995199
altitude_hmax_m,250,K,27.9,2.9284573,26.806619,28.993381
altitude_hmax_m,250,throughput_Mbps,12883.754,8978.6217,9531.458,16236.05
altitude_hmax_m,250,p5_rate_Mbps,6.2800289,6.0027113,4.0388314,8.5212265
altitude_hmax_m,250,jain_fairness,0.60998936,0.12077876,0.56489489,0.65508383
altitude_hmax_m,250,time_s,0.078366667,0.0040041645,0.076871655,0.079861678
altitude_hmax_m,80,coverage,0.99766667,0.0036514837,0.99630333,0.99903
altitude_hmax_m,80,K,25.766667,2.1605129,24.960008,26.573325
altitude_hmax_m,80,throughput_Mbps,8519.6101,6334.9316,6154.3734,10884.847
altitude_hmax_m,80,p5_rate_Mbps,3.4578152,4.1617358,1.903972,5.0116584
altitude_hmax_m,80,jain_fairness,0.52513237,0.097963414,0.48855634,0.5617084
altitude_hmax_m,80,time_s,0.076933333,0.0033211271,0.075693343,0.078173323
capacity_users,10,coverage,0.92591667,0.010956091,0.92182605,0.93000728
capacity_users,10,K,38.133333,0.57134646,37.920013,38.346654
capacity_users,10,throughput_Mbps,7264.9609,1785.6328,6598.2695,7931.6523
capacity_users,10,p5_rate_Mbps,0,0,0,0
capacity_users,10,jain_fairness,0.51954186,0.039519089,0.50478685,0.53429687
capacity_users,10,time_s,0.085,0.009515867,0.081447116,0.088552884
capacity_users,20,coverage,0.99925,0.0020916501,0.99846905,1.0000309
capacity_users,20,K,27.533333,2.5961953,26.564007,28.50266
capacity_users,20,throughput_Mbps,10914.478,7213.7296,8221.1298,13607.827
capacity_users,20,p5_rate_Mbps,4.7872517,4.9296544,2.9466952,6.6278083
capacity_users,20,jain_fairness,0.5959787,0.099669393,0.55876572,0.63319168
capacity_users,20,time_s,0.077833333,0.0038959159,0.076378738,0.079287929
capacity_users,30,coverage,1,0,1,1
capacity_users,30,K,25.133333,1.8519949,24.441865,25.824802
capacity_users,30,throughput_Mbps,25369.98,6279.5294,23025.428,27714.531
capacity_users,30,p5_rate_Mbps,15.490783,4.7624744,13.712645,17.26892
capacity_users,30,jain_fairness,0.75262558,0.064606117,0.72850396,0.77674719
capacity_users,30,time_s,0.078066667,0.013154082,0.073155403,0.08297793
fleet_cost_lambda_k,100,coverage,0.99925,0.0020916501,0.99846905,1.0000309
fleet_cost_lambda_k,100,K,27.533333,2.5961953,26.564007,28.50266
fleet_cost_lambda_k,100,throughput_Mbps,10914.478,7213.7296,8221.1298,13607.827
fleet_cost_lambda_k,100,p5_rate_Mbps,4.7872517,4.9296544,2.9466952,6.6278083
fleet_cost_lambda_k,100,jain_fairness,0.5959787,0.099669393,0.55876572,0.63319168
fleet_cost_lambda_k,100,time_s,0.080233333,0.0050012642,0.07836604,0.082100626
fleet_cost_lambda_k,25,coverage,0.99916667,0.0021104556,0.9983787,0.99995464
fleet_cost_lambda_k,25,K,29.233333,2.9323797,28.138488,30.328179
fleet_cost_lambda_k,25,throughput_Mbps,10144.602,7371.0623,7392.5109,12896.693
fleet_cost_lambda_k,25,p5_rate_Mbps,4.6960826,4.944434,2.850008,6.5421573
fleet_cost_lambda_k,25,jain_fairness,0.5853739,0.095985788,0.54953624,0.62121156
fleet_cost_lambda_k,25,time_s,0.093,0.01218252,0.088451483,0.097548517
fleet_cost_lambda_k,400,coverage,0.99908333,0.0023196437,0.99821726,0.99994941
fleet_cost_lambda_k,400,K,26.266667,2.5855478,25.301316,27.232018
fleet_cost_lambda_k,400,throughput_Mbps,10272.059,6305.8064,7917.6964,12626.421
fleet_cost_lambda_k,400,p5_rate_Mbps,3.7474371,3.6917081,2.3690855,5.1257888
fleet_cost_lambda_k,400,jain_fairness,0.58937046,0.080495778,0.55931622,0.61942471
fleet_cost_lambda_k,400,time_s,0.079,0.0044334154,0.077344721,0.080655279
nlos_loss_db,10,coverage,0.99983333,0.00091287093,0.9994925,1.0001742
nlos_loss_db,10,K,25.333333,1.7681733,24.673161,25.993506
nlos_loss_db,10,throughput_Mbps,13826.321,5356.9221,11826.238,15826.404
nlos_loss_db,10,p5_rate_Mbps,8.7386677,4.0742557,7.2174864,10.259849
nlos_loss_db,10,jain_fairness,0.69016598,0.13315311,0.64045137,0.73988058
nlos_loss_db,10,time_s,0.074833333,0.0031522661,0.07365639,0.076010277
nlos_loss_db,20,coverage,0.99925,0.0020916501,0.99846905,1.0000309
nlos_loss_db,20,K,27.533333,2.5961953,26.564007,28.50266
nlos_loss_db,20,throughput_Mbps,10914.478,7213.7296,8221.1298,13607.827
nlos_loss_db,20,p5_rate_Mbps,4.7872517,4.9296544,2.9466952,6.6278083
nlos_loss_db,20,jain_fairness,0.5959787,0.099669393,0.55876572,0.63319168
nlos_loss_db,20,time_s,0.082266667,0.0088432064,0.07896493,0.085568403
nlos_loss_db,30,coverage,0.99516667,0.0057958566,0.9930027,0.99733063
nlos_loss_db,30,K,30.6,3.3997972,29.330637,31.869363
nlos_loss_db,30,throughput_Mbps,9566.5389,7485.403,6771.7574,12361.321
nlos_loss_db,30,p5_rate_Mbps,3.1126083,4.0054626,1.617112,4.6081047
nlos_loss_db,30,jain_fairness,0.56059018,0.077487141,0.53165926,0.58952111
nlos_loss_db,30,time_s,0.082133333,0.0046737221,0.080388333,0.083878334
qos_rmin_mbps,0.5,coverage,0.99925,0.0020916501,0.99846905,1.0000309
qos_rmin_mbps,0.5,K,27.533333,2.5961953,26.564007,28.50266
qos_rmin_mbps,0.5,throughput_Mbps,10914.478,7213.7296,8221.1298,13607.827
qos_rmin_mbps,0.5,p5_rate_Mbps,4.7872517,4.9296544,2.9466952,6.6278083
qos_rmin_mbps,0.5,jain_fairness,0.5959787,0.099669393,0.55876572,0.63319168
qos_rmin_mbps,0.5,time_s,0.080066667,0.0046307319,0.078337717,0.081795616
qos_rmin_mbps,2,coverage,0.98675,0.015272665,0.98104773,0.99245227
qos_rmin_mbps,2,K,30.533333,2.8373535,29.473967,31.5927
qos_rmin_mbps,2,throughput_Mbps,14549.543,9067.0183,11164.243,17934.843
qos_rmin_mbps,2,p5_rate_Mbps,7.8261911,5.710426,5.6941224,9.9582598
