scenario,N,method,metric,mean,sd,ci95_low,ci95_high
corridor,100,alns_no_refine,coverage,1,0,1,1
corridor,100,alns_no_refine,K,6.4,0.67466467,6.1481044,6.6518956
corridor,100,alns_no_refine,throughput_Mbps,8360.553,931.79498,8012.6541,8708.4519
corridor,100,alns_no_refine,mean_user_rate_Mbps,83.60553,9.3179498,80.126541,87.084519
corridor,100,alns_no_refine,p5_rate_Mbps,20.801884,5.3493157,18.804641,22.799127
corridor,100,alns_no_refine,qos_violation,0,0,0,0
corridor,100,alns_no_refine,jain_fairness,0.78090513,0.039322023,0.76622369,0.79558656
corridor,100,alns_no_refine,time_s,0.0039666667,0.00055605342,0.0037590562,0.0041742771
corridor,100,alns_sca_lite,coverage,1,0,1,1
corridor,100,alns_sca_lite,K,6.3,0.4660916,6.1259781,6.4740219
corridor,100,alns_sca_lite,throughput_Mbps,9433.2939,812.09464,9130.0868,9736.5009
corridor,100,alns_sca_lite,mean_user_rate_Mbps,94.332939,8.1209464,91.300868,97.365009
corridor,100,alns_sca_lite,p5_rate_Mbps,25.015472,3.3259752,23.773672,26.257272
corridor,100,alns_sca_lite,qos_violation,0,0,0,0
corridor,100,alns_sca_lite,jain_fairness,0.82417291,0.03149131,0.81241518,0.83593064
corridor,100,alns_sca_lite,time_s,0.0083666667,0.00080871688,0.0080647207,0.0086686126
corridor,100,fixed_gno_refine,coverage,1,0,1,1
corridor,100,fixed_gno_refine,K,10,0,10,10
corridor,100,fixed_gno_refine,throughput_Mbps,6827.3001,515.54446,6634.8142,7019.7859
corridor,100,fixed_gno_refine,mean_user_rate_Mbps,68.273001,5.1554446,66.348142,70.197859
corridor,100,fixed_gno_refine,p5_rate_Mbps,24.497084,2.6554338,23.50564,25.488528
corridor,100,fixed_gno_refine,qos_violation,0,0,0,0
corridor,100,fixed_gno_refine,jain_fairness,0.83798726,0.028624307,0.82729997,0.84867455
corridor,100,fixed_gno_refine,time_s,0.006,0.00045485883,0.005830172,0.006169828
corridor,100,gno,coverage,1,0,1,1
corridor,100,gno,K,10,0,10,10
corridor,100,gno,throughput_Mbps,6009.1964,351.95254,5877.79,6140.6029
corridor,100,gno,mean_user_rate_Mbps,60.091964,3.5195254,58.7779,61.406029
corridor,100,gno,p5_rate_Mbps,20.941216,1.3723486,20.42883,21.453602
corridor,100,gno,qos_violation,0,0,0,0
corridor,100,gno,jain_fairness,0.79812983,0.033711387,0.7855432,0.81071645
corridor,100,gno,time_s,0.00036666667,0.00049013252,0.00018366873,0.00054966461
corridor,100,kmeans_grid,coverage,0.926,0.03838103,0.9116699,0.9403301
corridor,100,kmeans_grid,K,5,0,5,5
corridor,100,kmeans_grid,throughput_Mbps,9785.2224,797.34624,9487.5219,10082.923
corridor,100,kmeans_grid,mean_user_rate_Mbps,97.852224,7.9734624,94.875219,100.82923
corridor,100,kmeans_grid,p5_rate_Mbps,2.0776158,7.0372274,-0.54983305,4.7050647
corridor,100,kmeans_grid,qos_violation,0.074,0.03838103,0.059669897,0.088330103
corridor,100,kmeans_grid,jain_fairness,0.75441089,0.050919841,0.73539924,0.77342254
corridor,100,kmeans_grid,time_s,0.0007,0.0004660916,0.00052597808,0.00087402192
corridor,100,pso_high_12x16,coverage,1,0,1,1
